timestamp,session_time,frame_identifier,player_car_index,world_pos_X,world_pos_Y,world_pos_Z,world_velo_X,world_velo_Y,world_velo_Z,world_fwd_dir_X,world_fwd_dir_Y,world_fwd_dir_Z,world_rgt_dir_X,world_rgt_dir_Y,world_rgt_dir_Z,gforce_lat,gforce_long,gforce_vert,yaw,pitch,roll
1785643129.0223267,391.60040283203125,7864,0,-188.77049255371094,90.10515594482422,482.7518005371094,5.8379435539245605,-0.0016943026566877961,-78.22810363769531,2437,-42,-32676,32676,0,2437,4719,14979,2097,2.2572115663344153e-41,26738688.0,-9.463256271006665e+21
1785643129.0569768,391.63848876953125,7865,0,-188.57569885253906,90.10506439208984,480.1414794921875,5.84857177734375,-0.0013944172533228993,-78.37789916992188,2437,-42,-32676,32676,0,2437,4719,14979,32506,7.549265010833948e-28,27555334.0,-1.6576058100092294e-24
1785643129.110879,391.6902770996094,7866,0,-188.28285217285156,90.10498809814453,476.2167053222656,5.864613056182861,-0.0017708803061395884,-78.60028076171875,2437,-42,-32676,32676,0,2437,0,0,27787,2.256510917102253e-41,27394048.0,2.4225936053777063e+24
1785643129.1612358,391.7425537109375,7867,0,-187.98919677734375,90.10488891601562,472.2808837890625,5.880705833435059,-0.001272042514756322,-78.8199234008789,2437,-42,-32676,32676,0,2437,0,0,23069,7.5492621219390315e-28,26637574.0,6.475022695348552e-27
1785643129.2169588,391.79498291015625,7868,0,-187.59642028808594,90.10475158691406,467.01617431640625,5.902050018310547,-0.0012901329901069403,-79.10810852050781,2437,-42,-32676,32676,0,2437,0,0,16777,7.549260196009087e-28,25851398.0,1.6576058100092294e-24
1785643129.2688897,391.8476257324219,7869,0,-187.3008575439453,90.1046371459961,463.05511474609375,5.9208784103393555,-0.0013834155397489667,-79.32054138183594,2438,-42,-32676,32676,0,2438,29884,-17261,12059,7.549258751561629e-28,14957187.0,9.880100548322376e-32
1785643129.3210013,391.899169921875,7870,0,-187.00379943847656,90.10454559326172,459.0835876464844,5.9684882164001465,-0.0015177724417299032,-79.52779388427734,2456,-42,-32674,32674,12,2456,2621,-16937,7340,2.2546892290986307e-41,63.25,1.5075837018314172e-36
1785643129.3595486,391.9377136230469,7871,0,-186.8038787841797,90.10449981689453,456.4302062988281,6.026107311248779,-0.0014746637316420674,-79.66226196289062,2491,-42,-32672,32672,22,2491,-5767,-16858,4194,2.2544089694057657e-41,1.2878444977104664e-09,-4.064437619764054e+31
1785643129.4129577,391.9910888671875,7872,0,-186.49935913085938,90.10440826416016,452.44189453125,6.156157493591309,-0.0015548148658126593,-79.85783386230469,2574,-42,-32665,32665,35,2574,15729,-16758,31457,7.549254418219254e-28,9.506591879000024e-35,1.0863285436476486e-19
1785643129.4722676,392.0457458496094,7873,0,-186.08045959472656,90.10428619384766,447.1092834472656,6.415688991546631,-0.001612289808690548,-80.10600280761719,2721,-42,-32653,32653,55,2721,29884,-16685,25166,7.5492524922893095e-28,-0.06432058662176132,6.201838891897165e+26
1785643129.5134773,392.0883483886719,7874,0,-185.86373901367188,90.10421752929688,444.43695068359375,6.576060771942139,-0.0012125836219638586,-80.22500610351562,2802,-42,-32646,32646,62,2802,9961,-16655,22020,7.549251529324337e-28,-2.4660782595572222e-26,-9.880099372828025e-32
1785643129.5711503,392.14544677734375,7875,0,-185.4128875732422,90.10408782958984,439.0805969238281,6.9414896965026855,-0.0014394520549103618,-80.4534683227539,2970,-42,-32632,32632,73,2970,3670,-16627,-17826,2.2523070217092785e-41,5.03125,-2.0039222240448
