timestamp,session_time,frame_identifier,player_car_index,last_lap_time,current_lap_time,sector_1_time_ms,sector_1_time_min,sector_2_time_ms,sector_2_time_min,delta_car_ahead_ms,delta_car_ahead_min,delta_race_leader_ms,delta_race_leader_min,lap_distance,total_distance,delta_safety_car,car_position,current_lap_num,pit_status,pit_stops_count,sector,current_lap_invalid,penalties,total_warnings,corner_cutting_warnings,unserved_drive_thru_pens_count,unserved_stop_go_pens_count,grid_pos,driver_status,result_status,pitlane_timer_active,pitlane_time_in_lane_ms,pitstop_timer_ms,pitstop_should_serve_pen,speed_trap_fastest_speed,speed_trap_fastest_lap
1784313290.8587134,147.01620483398438,2953,0,0,0,0,0,0,0,0,0,0,0,-1262.42919921875,-1262.42919921875,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313290.9105852,147.06924438476562,2954,0,0,0,0,0,0,0,0,0,0,0,-1257.716796875,-1257.716796875,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313290.961959,147.12152099609375,2955,0,0,0,0,0,0,0,0,0,0,0,-1253.00439453125,-1253.00439453125,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.017704,147.17401123046875,2956,0,0,0,0,0,0,0,0,0,0,0,-1246.7197265625,-1246.7197265625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.0581248,147.2171630859375,2957,0,0,0,0,0,0,0,0,0,0,0,-1243.578125,-1243.578125,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.1126761,147.27114868164062,2958,0,0,0,0,0,0,0,0,0,0,0,-1238.865234375,-1238.865234375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.157945,147.3147735595703,2959,0,0,0,0,0,0,0,0,0,0,0,-1234.154296875,-1234.154296875,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.217661,147.37136840820312,2960,0,0,0,0,0,0,0,0,0,0,0,-1229.443359375,-1229.443359375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.262335,147.41815185546875,2961,0,0,0,0,0,0,0,0,0,0,0,-1224.734375,-1224.734375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.3077543,147.4637908935547,2962,0,0,0,0,0,0,0,0,0,0,0,-1220.02587890625,-1220.02587890625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.3604832,147.51893615722656,2963,0,0,0,0,0,0,0,0,0,0,0,-1215.31884765625,-1215.31884765625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.4162934,147.57229614257812,2964,0,0,0,0,0,0,0,0,0,0,0,-1209.04345703125,-1209.04345703125,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.461056,147.61666870117188,2965,0,0,0,0,0,0,0,0,0,0,0,-1205.9072265625,-1205.9072265625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.5166006,147.6728515625,2966,0,0,0,0,0,0,0,0,0,0,0,-1199.63427734375,-1199.63427734375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.5630846,147.71824645996094,2967,0,0,0,0,0,0,0,0,0,0,0,-1196.49755859375,-1196.49755859375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.6164994,147.7748260498047,2968,0,0,0,0,0,0,0,0,0,0,0,-1190.22509765625,-1190.22509765625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.6565318,147.81661987304688,2969,0,0,0,0,0,0,0,0,0,0,0,-1187.08984375,-1187.08984375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.7114732,147.86929321289062,2970,0,0,0,0,0,0,0,0,0,0,0,-1182.38671875,-1182.38671875,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.7669492,147.92422485351562,2971,0,0,0,0,0,0,0,0,0,0,0,-1176.11474609375,-1176.11474609375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.8100579,147.9677734375,2972,0,0,0,0,0,0,0,0,0,0,0,-1172.978515625,-1172.978515625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.8631074,148.02157592773438,2973,0,0,0,0,0,0,0,0,0,0,0,-1168.2734375,-1168.2734375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.9156296,148.0740966796875,2974,0,0,0,0,0,0,0,0,0,0,0,-1162.0,-1162.0,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313291.9571095,148.11546325683594,2975,0,0,0,0,0,0,0,0,0,0,0,-1158.86328125,-1158.86328125,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.013748,148.1684112548828,2976,0,0,0,0,0,0,0,0,0,0,0,-1154.1572265625,-1154.1572265625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313292.0578966,148.21437072753906,2977,0,0,0,0,0,0,0,0,0,0,0,-1149.451171875,-1149.451171875,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
